:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
#,,,ML/KG/HR,%,%,%,L,ML/KG/HR,%,%,%,L,,kcal/hr,LPM,mmHg,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,degC,BPM,%,%,%,degC,mmHg,,degC,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
352,0112,12:00:00 AM ,0,0.00,0.00,0.00,0.0,0,0.000,0.000,0.000,0.0,0.000,0.0,0.00,0.00,,0.00,0.00,0,0,0,0,0.0,0.0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,OFF,0.0,0.0,
